Timestamp,How do you identify yourself?,How old are you,Where do you live?,Pick your highest education level,Are you currently employed?,How long have you been using a smartphone?,Select your monthly income range,How many bank account do you have?,How many bank apps do you use?,How often do you visit a bank?,How long have you been using this mobile banking app?,Select all the services that you utilize,What is the highest transfer you have conducted through the mobile app (in LKR)?,Do you feel a sense of security when you operate the application?,What is your satisfaction with the additional charges related to the application?,What is your overall rating of the mobile app? (1 - worst and 5 - best),Do you see yourself continue using the app in the future?,Which bank does the app belong to?
10/12/2020 14:49:50,Female,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,100000 - 150000,3,3,Every few months,Less than 6 months,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile",50000 to 100000,Yes,Unfair,3,Yes,"BOC, peoples,Seylan "
10/12/2020 15:34:02,Male,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,Above 150000,4,4,Every few months,More than 2 years,"Check balance, Pay utility bills, Transfer money",50000 to 100000,Yes,Unfair,3,Yes,"Commercial,hsbc,seylan,hnb"
10/12/2020 16:22:34,Male,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,Above 150000,5 +,5 +,Never,More than 2 years,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile",More than 500000,Yes,Fair,3,Yes,HSBC
10/12/2020 21:05:12,Male,20 - 30,Uva,Degree / Diploma,Yes,2-5 years,0 - 50000,3,1,Every few months,Less than 6 months,"Check balance, Transfer money",Below 50000,Maybe,Unfair,3,Maybe,Bank of Ceylon 
10/12/2020 21:07:37,Female,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,Above 150000,4,2,Every few months,6 months to 1 year,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile, Manage investments (Fixed deposits, Treasury bills, etc)",Below 50000,Yes,Fair,4,Yes,Commercial and people’s 
10/12/2020 21:09:46,Male,20 - 30,North Western,O/L,Yes,More than 5 years,0 - 50000,2,1,Monthly,Less than 6 months,"Check balance, Transfer money",50000 to 100000,No,Unfair,3,Yes,commercial bank
10/12/2020 21:11:07,Male,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,100000 - 150000,3,3,Monthly,6 months to 1 year,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile",50000 to 100000,Maybe,Fair,4,Yes,Commercial Bank
10/12/2020 21:21:51,Female,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,50000 - 100000,2,1,Every few months,Less than 6 months,"Check balance, Transfer money",Below 50000,Yes,Fair,4,Yes,Commercial bank 
10/12/2020 21:34:57,Male,20 - 30,Uva,Degree / Diploma,Yes,More than 5 years,0 - 50000,4,3,Every few months,More than 2 years,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile",50000 to 100000,Yes,Unfair,4,Yes,BOC
10/12/2020 22:01:25,Female,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,100000 - 150000,3,1,Every few months,1-2 years,Check balance,Below 50000,No,Unfair,2,No,BOC
10/12/2020 22:34:33,Male,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,Above 150000,3,3,Monthly,1-2 years,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile, Manage investments (Fixed deposits, Treasury bills, etc)",More than 500000,No,Fair,4,Yes,
11/12/2020 00:32:08,Female,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,0 - 50000,2,1,Every few months,Less than 6 months,"Pay utility bills, Transfer money, As a mode to recharge your mobile",Below 50000,Maybe,Unfair,2,Yes,Bank of Ceylon 
